SHARE_CODE,ISSUER_NAME
MDIY,DAYA INTIGUNA YASA Tbk
MDKA,MERDEKA COPPER GOLD Tbk
MDKI,EMDEKI UTAMA Tbk
MDLA,MEDELA POTENTIA Tbk
MDLN,MODERNLAND REALTY Tbk
MDRN,MODERN INTERNASIONAL Tbk
MEDC,MEDCO ENERGI INTERNASIONAL Tbk
MEDS,HETZER MEDICAL INDONESIA Tbk
MEGA,BANK MEGA Tbk
MEJA,HARTA DJAYA KARYA Tbk
MENN,MENN TEKNOLOGI INDONESIA Tbk
MERI,MERRY RIANA EDUKASI Tbk
MERK,MERCK Tbk
META,NUSANTARA INFRASTRUCTURE Tbk
MFMI,MULTIFILING MITRA INDONESIA Tbk
MGLV,PANCA ANUGRAH WISESA Tbk
MGNA,MAGNA INVESTAMA MANDIRI Tbk
MGRO,MAHKOTA GROUP Tbk
MHKI,MULTI HANNA KREASINDO Tbk
MICE,MULTI INDOCITRA Tbk
MIDI,MIDI UTAMA INDONESIA Tbk
MIKA,MITRA KELUARGA KARYASEHAT Tbk
MINA,SANURHASTA MITRA Tbk
MINE,SINAR TERANG MANDIRI Tbk
MIRA,MITRA INTERNATIONAL RESOURCES Tbk
MITI,MITRA INVESTINDO Tbk
MKAP,MULTIKARYA ASIA PASIFIK RAYA Tbk
MKNT,MITRA KOMUNIKASI NUSANTARA Tbk
MKPI,METROPOLITAN KENTJANA Tbk
MKTR,MENTHOBI KARYATAMA RAYA Tbk
MLBI,MULTI BINTANG INDONESIA Tbk
MLIA,MULIA INDUSTRINDO Tbk
MLPL,MULTIPOLAR Tbk
MLPT,MULTIPOLAR TECHNOLOGY Tbk
MMIX,MULTI MEDIKA INTERNASIONAL Tbk
MMLP,MEGA MANUNGGAL PROPERTY Tbk
MNCN,MEDIA NUSANTARA CITRA Tbk
MOLI,MADUSARI MURNI INDAH Tbk
MORA,MORA TELEMATIKA INDONESIA Tbk
MPIX,MITRA PEDAGANG INDONESIA Tbk
MPMX,MITRA PINASTHIKA MUSTIKA Tbk
MPOW,MEGAPOWER MAKMUR Tbk
MPPA,MATAHARI PUTRA PRIMA Tbk
MPRO,MAHA PROPERTI INDONESIA Tbk
MPXL,MPX LOGISTICS INTERNATIONAL Tbk
MRAT,MUSTIKA RATU Tbk
MREI,MASKAPAI REASURANSI INDONESIA Tbk
MSIE,MULTISARANA INTAN EDUKA Tbk
MSIN,MNC DIGITAL ENTERTAINMENT Tbk
MSJA,MULTI SPUNINDO JAYA Tbk
MSTI,MASTERSYSTEM INFOTAMA Tbk
MTDL,METRODATA ELECTRONICS Tbk
MTEL,DAYAMITRA TELEKOMUNIKASI Tbk
MTFN,CAPITALINC INVESTMENT Tbk
MTLA,METROPOLITAN LAND Tbk
MTMH,MURNI SADAR Tbk
MTPS,META EPSI Tbk
MTRA,MITRA PEMUDA Tbk
MTSM,"METRO REALTY Tbk, PT"
MTWI,MALACCA TRUST WUWUNGAN INSURANCE Tbk
MUTU,MUTUAGUNG LESTARI Tbk
MYOH,SAMINDO RESOURCES Tbk
MYOR,MAYORA INDAH Tbk
MYTX,ASIA PACIFIC INVESTAMA Tbk
NAIK,ADIWARNA ANUGERAH ABADI Tbk
NANO,NANOTECH INDONESIA GLOBAL Tbk
NASA,ANDALAN PERKASA ABADI Tbk
NASI,WAHANA INTI MAKMUR Tbk
NATO,SURYA PERMATA ANDALAN Tbk
NAYZ,HASSANA BOGA SEJAHTERA TBK
NCKL,TRIMEGAH BANGUN PERSADA Tbk
NELY,PELAYARAN NELLY DWI PUTRI Tbk
NEST,ESTA INDONESIA Tbk
NETV,MDTV MEDIA TECHNOLOGIES Tbk
NFCX,NFC INDONESIA Tbk
NICE,ADHI KARTIKO PRATAMA Tbk
NICK,CHARNIC CAPITAL Tbk
NICL,PAM MINERAL Tbk
NIKL,PELAT TIMAH NUSANTARA Tbk
NINE,TECHNO9 INDONESIA Tbk
NIRO,CITY RETAIL DEVELOPMENTS Tbk
NISP,BANK OCBC NISP Tbk
NOBU,BANK NATIONALNOBU Tbk
NPGF,NUSA PALAPA GEMILANG Tbk
NRCA,NUSA RAYA CIPTA Tbk
NSSS,NUSANTARA SAWIT SEJAHTERA Tbk
NTBK,NUSATAMA BERKAH Tbk
NUSA,SINERGI MEGAH INTERNUSA Tbk
NZIA,NUSANTARA ALMAZIA Tbk
OASA,MAHARAKSA BIRU ENERGI Tbk
OBAT,BRIGIT BIOFARMAKA TEKNOLOGI Tbk
OBMD,OBM DRILCHEM Tbk
OCAP,ONIX CAPITAL Tbk
OILS,INDO OIL PERKASA Tbk
OKAS,ANCORA INDONESIA RESOURCES Tbk
OLIV,OSCAR MITRA SUKSES SEJAHTERA Tbk
OMED,JAYAMAS MEDICA INDUSTRI Tbk
OMRE,INDONESIA PRIMA PROPERTY Tbk
OPMS,OPTIMA PRIMA METAL SINERGI Tbk
PACK,ABADI NUSANTARA HIJAU INVESTAMA Tbk
PADA,PERSONEL ALIH DAYA Tbk
PADI,MINNA PADI INVESTAMA SEKURITAS Tbk
PALM,PROVIDENT INVESTASI BERSAMA Tbk
PAMG,BIMA SAKTI PERTIWI Tbk
PANI,PANTAI INDAH KAPUK DUA Tbk
PANR,PANORAMA SENTRAWISATA Tbk
PANS,PANIN SEKURITAS Tbk
PART,CIPTA PERDANA LANCAR Tbk
PBID,PANCA BUDI IDAMAN Tbk
PBRX,PAN BROTHERS Tbk
PBSA,PARAMITA BANGUN SARANA Tbk
PCAR,PRIMA CAKRAWALA ABADI Tbk
PDES,DESTINASI TIRTA NUSANTARA Tbk
PDPP,PRIMADAYA PLASTISINDO Tbk
PEGE,PANCA GLOBAL KAPITAL Tbk
PEHA,PHAPROS Tbk
PEVE,PENTA VALENT Tbk
PGAS,PERUSAHAAN GAS NEGARA (PERSERO) Tbk
PGEO,PERTAMINA GEOTHERMAL ENERGY Tbk
PGJO,BAHTERA BUMI RAYA Tbk
PGLI,PEMBANGUNAN GRAHA LESTARI INDAH Tbk
PGUN,PRADIKSI GUNATAMA Tbk
PICO,PELANGI INDAH CANINDO Tbk
PIPA,MULTI MAKMUR LEMINDO Tbk
PJAA,PEMBANGUNAN JAYA ANCOL Tbk
PJHB,PELAYARAN JAYA HIDUP BARU Tbk
PKPK,PARAGON KARYA PERKASA Tbk
PLAN,PLANET PROPERINDO JAYA Tbk
PLAS,POLARIS INVESTAMA TBK
PLIN,PLAZA INDONESIA REALTY Tbk
PMJS,PUTRA MANDIRI JEMBAR Tbk
PMMP,PANCA MITRA MULTIPERDANA Tbk
PMUI,PRIMA MULTI USAHA INDONESIA Tbk
PNBN,BANK PAN INDONESIA Tbk
PNBS,BANK PANIN DUBAI SYARIAH Tbk
PNGO,PINAGO UTAMA Tbk
PNIN,PANINVEST Tbk
PNLF,PANIN FINANCIAL Tbk
PNSE,PUDJIADI AND SONS Tbk
POLA,POOL ADVISTA FINANCE Tbk
POLI,POLLUX HOTELS GROUP Tbk
POLL,POLLUX PROPERTIES INDONESIA Tbk
POLU,GOLDEN FLOWER Tbk
POLY,ASIA PACIFIC FIBERS Tbk
POOL,POOL ADVISTA INDONESIA Tbk
PORT,NUSANTARA PELABUHAN HANDAL Tbk
POSA,BLISS PROPERTI INDONESIA Tbk
POWR,CIKARANG LISTRINDO Tbk
PPGL,PRIMA GLOBALINDO LOGISTIK Tbk
PPRE,PP PRESISI Tbk
PPRI,PAPEROCKS INDONESIA Tbk
PPRO,PP Properti Tbk
PRAY,FAMON AWAL BROS SEDAYA Tbk
PRDA,PRODIA WIDYAHUSADA Tbk
PRIM,ROYAL PRIMA Tbk
PSAB,J RESOURCES ASIA PASIFIK Tbk
PSAT,PANCARAN SAMUDERA TRANSPORT Tbk
PSDN,PRASIDHA ANEKA NIAGA Tbk
PSGO,PALMA SERASIH Tbk
PSKT,RED PLANET INDONESIA Tbk
PSSI,IMC PELITA LOGISTIK Tbk
PTBA,BUKIT ASAM Tbk
PTDU,DJASA UBERSAKTI Tbk
PTIS,INDO STRAITS Tbk
PTMP,MITRA PACK Tbk
PTMR,MASTER PRINT Tbk
PTPP,PP (PERSERO) Tbk
PTPS,PULAU SUBUR Tbk
PTPW,PRATAMA WIDYA Tbk
PTRO,PETROSEA Tbk
PTSN,SAT NUSAPERSADA Tbk
PTSP,PIONEERINDO GOURMET INTERNATIONAL Tbk
PUDP,PUDJIADI PRESTIGE Tbk
PURA,PUTRA RAJAWALI KENCANA Tbk
PURE,TRINITAN METALS AND MINERALS Tbk
PURI,PURI GLOBAL SUKSES Tbk
PWON,PAKUWON JATI Tbk
PYFA,PYRIDAM FARMA Tbk
PZZA,SARIMELATI KENCANA Tbk
RAAM,TRIPAR MULTIVSION PLUS Tbk
RAFI,SARI KREASI BOGA Tbk
RAJA,RUKUN RAHARJA Tbk
RALS,RAMAYANA LESTARI SENTOSA Tbk
RANC,SUPRA BOGA LESTARI Tbk
RATU,RAHARJA ENERGI CEPU Tbk
RBMS,RISTIA BINTANG MAHKOTASEJATI Tbk
RCCC,UTAMA RADAR CAHAYA Tbk
RDTX,RODA VIVATEX Tbk
REAL,REPOWER ASIA INDONESIA Tbk
RELF,GRAHA MITRA ASIA Tbk
RELI,RELIANCE SEKURITAS INDONESIA Tbk
RGAS,KIAN SANTANG MULIATAMA Tbk
RICY,RICKY PUTRA GLOBALINDO Tbk
RIGS,RIG TENDERS INDONESIA Tbk
RIMO,RIMO INTERNATIONAL LESTARI Tbk
RISE,JAYA SUKSES MAKMUR SENTOSA Tbk
RLCO,ABADI LESTARI INDONESIA Tbk
RMKE,RMK ENERGY Tbk
RMKO,ROYALTAMA MULIA KONTRAKTORINDO Tbk
ROCK,ROCKFIELDS PROPERTI INDONESIA Tbk
RODA,PIKKO LAND DEVELOPMENT Tbk
RONY,ARACORD NUSANTARA GROUP Tbk
ROTI,NIPPON INDOSARI CORPINDO Tbk
RSCH,CHARLIE HOSPITAL SEMARANG Tbk
RSGK,KEDOYA ADYARAYA Tbk
RUIS,RADIANT UTAMA INTERINSCO Tbk
RUNS,GLOBAL SUKSES SOLUSI Tbk
SAFE,STEADY SAFE Tbk
SAGE,SAPTAUSAHA GEMILANGINDAH Tbk
SAME,SARANA MEDITAMA METROPOLITAN Tbk
SAMF,SARASWANTI ANUGERAH MAKMUR Tbk
SAPX,SATRIA ANTARAN PRIMA Tbk
SATU,KOTA SATU PROPERTI Tbk
SBAT,SEJAHTERA BINTANG ABADI TEXTILE Tbk
SBMA,SURYA BIRU MURNI ACETYLENE Tbk
SCCO,SUPREME CABLE MANUFACTURING & COMMERCE Tbk
SCMA,SURYA CITRA MEDIA Tbk
SCNP,SELARAS CITRA NUSANTARA PERKASA Tbk
SCPI,ORGANON PHARMA INDONESIA Tbk
SDMU,SIDOMULYO SELARAS Tbk
SDPC,MILLENNIUM PHARMACON INTERNATIONAL Tbk
SDRA,BANK WOORI SAUDARA INDONESIA 1906 Tbk
SEMA,SEMACOM INTEGRATED Tbk
SFAN,SURYA FAJAR CAPITAL Tbk
SGER,SUMBER GLOBAL ENERGY Tbk
SGRO,PRIME AGRI RESOURCES Tbk
SHID,HOTEL SAHID JAYA INTERNATIONAL Tbk
SHIP,SILLO MARITIME PERDANA Tbk
SICO,SIGMA ENERGY COMPRESSINDO Tbk
SIDO,INDUSTRI JAMU DAN FARMASI SIDO MUNCUL Tbk
SILO,SILOAM INTERNATIONAL HOSPITALS Tbk
SIMA,SIWANI MAKMUR Tbk
SIMP,SALIM IVOMAS PRATAMA Tbk
SINI,SINGARAJA PUTRA Tbk
SIPD,SREEYA SEWU INDONESIA Tbk
SKBM,SEKAR BUMI Tbk
SKLT,SEKAR LAUT Tbk
SKRN,SUPERKRANE MITRA UTAMA Tbk
SKYB,NORTHCLIFF CITRANUSA INDONESIA Tbk
SLIS,GAYA ABADI SEMPURNA Tbk
SMAR,SINAR MAS AGRO RESOURCES AND TECHNOLOGY Tbk
SMBR,SEMEN BATURAJA Tbk
SMCB,SOLUSI BANGUN INDONESIA Tbk
SMDM,SURYAMAS DUTAMAKMUR Tbk
SMDR,SAMUDERA INDONESIA Tbk
SMGA,SUMBER MINERAL GLOBAL ABADI Tbk
SMGR,SEMEN INDONESIA (PERSERO) Tbk
SMIL,SARANA MITRA LUAS Tbk
SMKL,SATYAMITRA KEMAS LESTARI Tbk
SMKM,SUMBER MAS KONSTRUKSI Tbk
SMLE,SINERGI MULTI LESTARINDO Tbk
SMMA,SINAR MAS MULTIARTHA Tbk
SMMT,GOLDEN EAGLE ENERGY Tbk
SMRA,SUMMARECON AGUNG Tbk
SMRU,SMR UTAMA Tbk
SMSM,SELAMAT SEMPURNA Tbk
SNLK,SUNTER LAKESIDE HOTEL Tbk
SOCI,SOECHI LINES Tbk
SOFA,SOLUSI ENVIRONMENT ASIA Tbk
SOHO,SOHO GLOBAL HEALTH Tbk
SOLA,XOLARE RCR ENERGY Tbk
SONA,SONA TOPAS TOURISM INDUSTRY Tbk
SOSS,SHIELD ON SERVICE Tbk
SOTS,SATRIA MEGA KENCANA Tbk
SOUL,MITRA TIRTA BUWANA Tbk
SPMA,SUPARMA Tbk
SPRE,SORAYA BERJAYA INDONESIA Tbk
SPTO,SURYA PERTIWI Tbk
SQMI,WILTON MAKMUR INDONESIA Tbk
SRAJ,"SEJAHTERARAYA ANUGRAHJAYA Tbk, PT"
SRIL,SRI REJEKI ISMAN Tbk
SRSN,INDO ACIDATAMA Tbk
SRTG,SARATOGA INVESTAMA SEDAYA Tbk
SSIA,SURYA SEMESTA INTERNUSA Tbk
SSMS,SAWIT SUMBERMAS SARANA Tbk
SSTM,SUNSON TEXTILE MANUFACTURER Tbk
STAA,SUMBER TANI AGUNG RESOURCES Tbk
STAR,BUANA ARTHA ANUGERAH Tbk
STRK,LOVINA BEACH BREWERY Tbk
STTP,SIANTAR TOP Tbk
SUGI,"SUGIH ENERGY Tbk, PT"
SULI,SLJ GLOBAL Tbk
SUNI,SUNINDO PRATAMA Tbk
SUPA,SUPER BANK INDONESIA Tbk
SUPR,SOLUSI TUNAS PRATAMA Tbk
SURE,SUPER ENERGY Tbk
SURI,MAJA AGUNG LATEXINDO Tbk
SWAT,SRIWAHANA ADITYAKARTA Tbk
SWID,SARASWANTI INDOLAND DEVELOPMENT Tbk
TALF,TUNAS ALFIN Tbk
TAMA,LANCARTAMA SEJATI Tbk
TAMU,PELAYARAN TAMARIN SAMUDRA Tbk
TAPG,TRIPUTRA AGRO PERSADA Tbk
TARA,AGUNG SEMESTA SEJAHTERA Tbk
TAXI,EXPRESS TRANSINDO UTAMA Tbk
TAYS,JAYA SWARASA AGUNG Tbk
TBIG,TOWER BERSAMA INFRASTRUCTURE Tbk
TBLA,TUNAS BARU LAMPUNG Tbk
TBMS,TEMBAGA MULIA SEMANAN Tbk
TCID,MANDOM INDONESIA Tbk
TCPI,TRANSCOAL PACIFIC Tbk
TDPM,TRIDOMAIN PERFORMANCE MATERIALS Tbk
TEBE,DANA BRATA LUHUR Tbk
TECH,INDOSTERLING TECHNOMEDIA Tbk
TELE,OMNI INOVASI INDONESIA Tbk
TFAS,TELEFAST INDONESIA Tbk
TFCO,TIFICO FIBER INDONESIA Tbk
TGKA,TIGARAKSA SATRIA Tbk
TGRA,TERREGRA ASIA ENERGY Tbk
TGUK,PLATINUM WAHAB NUSANTARA Tbk
TIFA,KDB TIFA FINANCE Tbk
TINS,TIMAH Tbk
TIRA,TIRA AUSTENITE Tbk
TIRT,TIRTA MAHAKAM RESOURCES Tbk
TKIM,PABRIK KERTAS TJIWI KIMIA Tbk
TLDN,TELADAN PRIMA AGRO Tbk
TLKM,TELKOM INDONESIA (PERSERO) Tbk
TMAS,TEMAS Tbk
TMPO,TEMPO INTI MEDIA Tbk
TNCA,TRIMUDA NUANSA CITRA Tbk
TOBA,TBS ENERGI UTAMA Tbk
TOOL,ROHARTINDO NUSANTARA LUAS Tbk
TOPS,TOTALINDO EKA PERSADA Tbk
TOSK,TOPINDO SOLUSI KOMUNIKA Tbk
TOTL,TOTAL BANGUN PERSADA Tbk
TOTO,SURYA TOTO INDONESIA Tbk
TOWR,SARANA MENARA NUSANTARA Tbk
TOYS,SUNINDO ADIPERSADA Tbk
TPIA,CHANDRA ASRI PACIFIC Tbk
TPMA,TRANS POWER MARINE Tbk
TRAM,TRADA ALAM MINERA Tbk
TRGU,CERESTAR INDONESIA Tbk
TRIL,TRIWIRA INSANLESTARI Tbk
TRIM,TRIMEGAH SEKURITAS INDONESIA Tbk
TRIN,PERINTIS TRINITI PROPERTI Tbk
TRIO,TRIKOMSEL OKE Tbk
TRIS,TRISULA INTERNATIONAL Tbk
TRJA,TRANSKON JAYA Tbk
TRON,TEKNOLOGI KARYA DIGITAL NUSA Tbk
TRST,TRIAS SENTOSA Tbk
TRUE,TRINITI DINAMIK Tbk
TRUK,GUNA TIMUR RAYA Tbk
TRUS,TRUST FINANCE INDONESIA Tbk
TSPC,TEMPO SCAN PACIFIC Tbk
TUGU,ASURANSI TUGU PRATAMA INDONESIA Tbk
TYRE,KING TIRE INDONESIA Tbk
UANG,PAKUAN Tbk
UCID,UNI-CHARM INDONESIA Tbk
UDNG,AGRO BAHARI NUSANTARA Tbk
UFOE,DAMAI SEJAHTERA ABADI Tbk
ULTJ,ULTRAJAYA MILK INDUSTRY AND TRADING COMPANY Tbk
UNIC,UNGGUL INDAH CAHAYA Tbk
UNIQ,ULIMA NITRA Tbk
UNIT,CAHAYA PERMATA SEJAHTERA Tbk
UNSP,BAKRIE SUMATERA PLANTATIONS Tbk
UNTD,TERANG DUNIA INTERNUSA Tbk
UNTR,UNITED TRACTORS Tbk
UNVR,UNILEVER INDONESIA Tbk
URBN,URBAN JAKARTA PROPERTINDO Tbk
UVCR,TRIMEGAH KARYA PRATAMA Tbk
VAST,VASTLAND INDONESIA Tbk
VERN,VERONA INDAH PICTURES Tbk
VICI,VICTORIA CARE INDONESIA Tbk
VICO,VICTORIA INVESTAMA Tbk
VINS,VICTORIA INSURANCE Tbk
VISI,SATU VISI PUTRA Tbk
VIVA,VISI MEDIA ASIA Tbk
VKTR,VKTR TEKNOLOGI MOBILITAS Tbk
VOKS,VOKSEL ELECTRIC Tbk
VRNA,MIZUHO LEASING INDONESIA Tbk
VTNY,VENTENY FORTUNA INTERNATIONAL Tbk
WAPO,WAHANA PRONATURAL Tbk
WEGE,WIJAYA KARYA BANGUNAN GEDUNG Tbk
WEHA,WEHA TRANSPORTASI INDONESIA Tbk
WGSH,WIRA GLOBAL SOLUSI Tbk
WICO,WICAKSANA OVERSEAS INTERNATIONAL Tbk
WIDI,WIDIANT JAYA KRENINDO Tbk
WIFI,SOLUSI SINERGI DIGITAL Tbk
WIIM,WISMILAK INTI MAKMUR Tbk
WIKA,WIJAYA KARYA (PERSERO) Tbk
WINE,HATTEN BALI Tbk
WINR,WINNER NUSANTARA JAYA Tbk
WINS,WINTERMAR OFFSHORE MARINE Tbk
WIRG,WIR ASIA Tbk
WMPP,WIDODO MAKMUR PERKASA Tbk
WMUU,WIDODO MAKMUR UNGGAS Tbk
WOMF,WAHANA OTTOMITRA MULTIARTHA Tbk
WOOD,INTEGRA INDOCABINET Tbk
WOWS,GINTING JAYA ENERGI Tbk
WSBP,WASKITA BETON PRECAST Tbk
WSKT,WASKITA KARYA (PERSERO) Tbk
WTON,WIJAYA KARYA BETON Tbk
YELO,YELOOO INTEGRA DATANET Tbk
YOII,ASURANSI DIGITAL BERSAMA Tbk
YPAS,YANAPRIMA HASTAPERSADA Tbk
YULE,YULIE SEKURITAS INDONESIA Tbk
YUPI,YUPI INDO JELLY GUM Tbk
ZATA,BERSAMA ZATTA JAYA Tbk
ZBRA,DOSNI ROHA INDONESIA Tbk
ZINC,KAPUAS PRIMA COAL Tbk
ZONE,MEGA PERINTIS Tbk
ZYRX,ZYREXINDO MANDIRI BUANA Tbk
