Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
27-FEB-2026|AADI|EQUITY|7786891760|9250|100730965|5035745466|15622269|41|1817092689|117982099|22932698|2060140|105275|7112271642|1150700|66705786|43311343|204936195|1261705|262226503|42723690|2493100|49811096|674620118
27-FEB-2026|AALI|EQUITY|1924688333|7500|64842516|27390498|5387118|49700|133848056|7594433|71305|3795112|4742227|247720965|1062000|17208216|27839831|17999979|1165052|36357212|28283474|190500|12969864|143076128
27-FEB-2026|ABBA|EQUITY|3935892857|50|0|2368118705|0|0|1065066048|0|523|71|0|3433185347|0|1300000|0|41020085|396600|0|1754300|0|0|44470985
27-FEB-2026|ABDA|EQUITY|620806680|3000|0|44048|0|98|479357|0|7575|444634|20|975732|538555304|21730234|0|28003600|900|0|30503300|0|0|618793338
27-FEB-2026|ABMM|EQUITY|2753165000|2880|1847600|1494167633|86000|0|421637600|420000|1543118|0|0|1919701951|0|804880879|3242509|6406449|194200|10196367|3152909|0|5389736|833463049
27-FEB-2026|ACES|EQUITY|17120389700|400|406899100|10903347600|99904100|6200000|2344938591|392589552|25974993|17684714|8085900|14205624550|6415500|204905334|148615998|643660890|6502100|820714444|135419479|0|948431405|2914665150
27-FEB-2026|ACRO|EQUITY|3469345537|86|0|29700|0|0|3357412235|0|102|0|0|3357442037|0|0|0|5383000|106415200|0|105300|0|0|111903500
27-FEB-2026|ACST|EQUITY|17675160000|128|0|16221746535|0|0|1431432200|0|1071|0|80|17653179886|0|56940|0|9242444|10691935|0|1988795|0|0|21980114
27-FEB-2026|ADCP|EQUITY|22222222200|54|0|449637600|1200000|0|1595490500|0|1558700|400|147078400|2194965600|0|0|0|22466500|4576100|0|214000|0|0|27256600
27-FEB-2026|ADES|EQUITY|589896800|15575|0|2779100|0|350|42262177|0|471|0|0|45042098|0|539011710|60300|4138764|115400|111500|412600|0|316000|544166274
27-FEB-2026|ADHI|EQUITY|8407608979|242|23082479|326413873|44278904|3000000|2243507341|720502|241276872|15300235|985047|2898565253|0|6211746|6188100|25995596|26447346|20045858|6340405|0|9030883|100259934
27-FEB-2026|ADMF|EQUITY|1235803109|8725|5082393|692388|106600|930516154|43290496|7631000|160280|71|0|987479382|0|185735|474839|234147214|3930318|1152312|8324709|8600|0|248223727
27-FEB-2026|ADMG|EQUITY|3889179559|214|1030000|1399506693|2290400|0|501943487|83|450027|0|0|1905220690|0|62|0|7631528|2632300|0|4371796|0|1925414417|1940050103
27-FEB-2026|ADMR|EQUITY|40882331500|2100|457684500|35991607291|78600500|0|1693882275|596305018|11539578|27747300|786700|38858153162|11085700|552167237|196094630|733030945|2753900|229670492|97870234|0|201505200|2024178338
27-FEB-2026|ADRO|EQUITY|29389689400|2340|591881732|16386486853|107653868|1500|7909328228|620910861|52701387|17530200|422700|25686917329|10786600|703519873|285058726|400756909|9724042|1493989237|235468636|30087300|533380748|3702772071
27-FEB-2026|AEGS|EQUITY|1006080721|70|0|2683300|0|0|943168796|0|25|0|0|945852121|0|0|0|330400|1098200|0|58800000|0|0|60228600
27-FEB-2026|AGAR|EQUITY|1000000000|254|0|798985100|0|0|200743200|0|0|0|0|999728300|0|200|0|82500|25200|0|163800|0|0|271700
27-FEB-2026|AGII|EQUITY|3066660000|3290|0|1017913329|0|0|70359891|22040100|60|100|3200|1110316680|0|1085560220|0|17246400|9863800|2946200|9383700|0|200000|1125200320
27-FEB-2026|AGRO|EQUITY|24740494294|208|0|123806690|602651003|21307948386|2385907704|5875798|1762648|2214957|894971|24431062157|0|412880|0|36109552|11899637|0|3993167|0|0|52415236
27-FEB-2026|AGRS|EQUITY|47864384874|74|0|394157172|0|0|1681111262|0|1414728369|431|0|3489997234|0|1|0|19988014|29830498|33091400|1788342|0|4701453340|4786151595
27-FEB-2026|AHAP|EQUITY|4900000000|162|3066343009|31960581|0|0|1553672644|0|55197|66|0|4652031497|64086000|55|0|21580841|157960749|0|0|0|0|243627645
27-FEB-2026|AIMS|EQUITY|220000000|446|0|137499842|0|0|81652458|0|18000|0|0|219170300|0|0|0|100|669200|0|10400|0|0|679700
27-FEB-2026|AISA|EQUITY|9311800000|143|169631429|6981745355|4350400|0|1607714610|3364513|1130713|160|8794665|8776731845|0|320692502|1927300|191500112|7433025|0|9850816|0|3036900|534440655
27-FEB-2026|AKKU|EQUITY|6449463636|39|0|5519566100|0|0|635461636|0|664400|6900|0|6155699036|0|195389000|0|23000100|800200|0|2040300|0|72535000|293764600
27-FEB-2026|AKPI|EQUITY|612248000|530|4000|146213173|0|2|100265504|17500|2122|0|0|246502301|0|33|34|29601|628403|0|94400|0|10267|762738
27-FEB-2026|AKRA|EQUITY|20073474600|1295|757703300|3449108900|145071200|5000000|901113985|419909843|9450341|24194025|838800|5712390394|38274300|155495262|920140485|488566778|5088700|1756915911|217130807|8217300|1059625563|4649455106
27-FEB-2026|AKSI|EQUITY|720000000|370|0|6486844|0|0|50272256|0|0|0|0|56759100|0|0|0|732600|46500|0|300|0|0|779400
27-FEB-2026|ALDO|EQUITY|2700713744|550|0|1961924232|0|0|738005986|0|82|0|0|2699930300|0|12|0|782232|1200|0|0|0|0|783444
27-FEB-2026|ALII|EQUITY|15825800000|880|0|5337034200|0|0|548368910|0|1135000|0|0|5886538110|0|6978268450|0|16399100|340763700|2602423640|1407000|0|0|9939261890
27-FEB-2026|ALKA|EQUITY|507665055|570|0|14390500|0|77500|49609905|0|21200|0|0|64099105|0|0|0|21200|2631923|0|100|0|0|2653223
27-FEB-2026|ALMI|EQUITY|3816000000|74|0|97045340|0|0|47006400|0|303000|0|0|144354740|0|0|0|32818700|725800|0|1604500|0|0|35149000
27-FEB-2026|ALTO|EQUITY|2191870558|18|0|1371844916|0|0|577065024|0|229039618|0|0|2177949558|0|0|0|7560100|11000|0|6098400|0|0|13669500
27-FEB-2026|AMAG|EQUITY|5001552516|430|55806100|191754821|210019533|388000000|34410096|0|23887500|0|0|903878050|0|5413700|0|1545100|7759300|3352200|78195000|0|100000|96365300
27-FEB-2026|AMAN|EQUITY|3873500000|318|0|100|0|0|567815500|0|0|0|0|567815600|0|3730300|0|11842400|1000|0|1610700|0|0|17184400
27-FEB-2026|AMAR|EQUITY|18381094760|210|0|1268342660|0|367421455|433944302|0|523|176|0|2069709116|0|14871331344|0|1203283704|395803|21391898|30350620|0|821275|16127574644
27-FEB-2026|AMFG|EQUITY|434000000|3470|23500|13622282|0|0|35112500|28600|35076|0|0|48821958|114800|21576583|162700|1145600|383200|455700|12584659|76900|217400|36717542
27-FEB-2026|AMIN|EQUITY|1080000000|270|0|0|0|0|81573400|0|0|0|0|81573400|0|17438300|0|2902200|235164500|0|12121600|0|0|267626600
27-FEB-2026|AMMN|EQUITY|72518217656|7650|263193000|59648054051|25839200|0|1126273835|147251339|174852008|3266900|375000|61389105333|62910991|4540094963|507143140|685619564|2372400|2389682373|358974165|4548700|2577766027|11129112323
27-FEB-2026|AMMS|EQUITY|1235296802|432|0|360200731|0|0|243064645|0|119|38|0|603265533|0|630001369|0|669400|418500|0|942000|0|0|632031269
27-FEB-2026|AMOR|EQUITY|2222222400|354|8945500|352418400|0|0|485850700|0|23738400|0|0|870953000|10730454|0|0|3195900|1212600|1088100|202500|0|719846|17149400
27-FEB-2026|AMRT|EQUITY|41524501700|1670|417515700|16642895434|52983100|0|3898264490|320041569|3231140|8278000|0|21343209433|73456525|4303586951|1691538455|437702046|1995400|5132679504|416131693|10369500|1760896793|13828356867
27-FEB-2026|ANDI|EQUITY|9350000000|29|20585655|821130813|563700|0|2570439830|1017794267|266761997|110879|26|4697387167|0|0|0|5100|2555933|0|21800|0|0|2582833
27-FEB-2026|ANJT|EQUITY|3354175000|1755|0|83010651|0|0|52956835|100|0|0|0|135967586|0|3217218477|0|428600|247937|0|312400|0|0|3218207414
27-FEB-2026|ANTM|EQUITY|24030764725|4350|636590015|79952701|110937459|3500012|1729455787|723604616|14474641|13942451|748967|3313206649|97211940|359372102|976319444|606947800|6375998|1821084424|204867836|98572700|889166099|5059918343
27-FEB-2026|APEX|EQUITY|3546466661|208|0|1292155154|0|0|922951613|0|61548039|0|0|2276654806|0|309781499|0|104957930|246967|0|777111787|0|0|1192098183
27-FEB-2026|APIC|EQUITY|11766313488|1250|89666000|8660942215|86328700|0|552651957|483878475|545505485|2300000|0|10421272832|6068800|242170863|85262600|388131177|250|87120376|3087348|0|533199242|1345040656
27-FEB-2026|APII|EQUITY|1075760000|202|0|1446500|0|0|55829000|0|0|0|0|57275500|0|0|0|2535100|36757300|0|35085100|0|142971000|217348500
27-FEB-2026|APLI|EQUITY|1362671400|328|0|216741400|0|0|545089200|0|165000|0|0|761995600|0|0|0|1100|85000|0|488700|0|0|574800
27-FEB-2026|APLN|EQUITY|22699326779|150|5283600|9318968798|1150000|0|3135848516|2954300|166342064|700000|390000|12631637278|0|1137703|15084800|331371537|3080700|5753400|9667861|0|7813500|373909501
27-FEB-2026|APOL|EQUITY|16452282461|0|0|649059480|1400000|0|775297451|0|91344020|14088335|575800|1531765086|0|2653784186|0|1180647657|8159700|13668011|1410754020|0|71000000|5338013574
27-FEB-2026|ARCI|EQUITY|25235000000|1880|576620200|21441569877|93580600|0|1372589323|370698260|581012808|7403700|1051000|24444525768|14451300|86669810|19806800|200722282|20375400|186627580|44455160|0|217365900|790474232
27-FEB-2026|AREA|EQUITY|2539601000|384|0|383774000|0|0|117514500|0|100|0|0|501288600|0|1400|0|2217000|6308300|0|184700|0|0|8711400
27-FEB-2026|ARGO|EQUITY|3174339029|1105|45000|659759914|0|0|2823250|0|70100|0|0|662698264|0|280|0|5456320|12150|0|0|0|0|5468750
27-FEB-2026|ARII|EQUITY|3750000000|292|117981800|1849831800|0|0|529770900|148553900|0|35300|0|2646173700|0|319208600|0|218909000|2149300|0|63500|0|76134900|616465300
27-FEB-2026|ARKA|EQUITY|2000000000|37|0|1092802700|0|0|904752800|0|0|0|0|1997555500|0|0|0|100|36000|0|1158400|0|0|1194500
27-FEB-2026|ARKO|EQUITY|2928495000|8275|0|2570163918|0|0|299695750|174500|7899200|0|0|2877933368|0|31503032|0|18532700|250400|0|275500|0|0|50561632
27-FEB-2026|ARMY|EQUITY|9006250000|50|1238919479|2958461794|8227180|274843376|1794847845|1073934402|382763030|2541380|526952595|8261491081|0|488927400|0|31551200|1329019|2532000|4800|0|0|524344419
27-FEB-2026|ARNA|EQUITY|7341430976|535|263249197|1410577876|14516987|0|3559422441|55890800|109391|0|0|5303766692|0|213899560|143174700|637957728|18656928|875642676|36379592|0|111953100|2037664284
27-FEB-2026|ARTA|EQUITY|446674175|2700|0|51869200|0|0|368082625|0|0|0|0|419951825|0|20000000|0|6150|499600|0|6216600|0|0|26722350
27-FEB-2026|ARTI|EQUITY|7840000000|2|423655974|2650331886|739500000|0|3821089750|156169300|1175890|20000|23750000|7815692800|0|0|0|100|14591400|0|8340700|0|0|22932200
27-FEB-2026|ARTO|EQUITY|13861330900|1590|55051244|7078508692|13532293|0|1183618514|59825980|3392350|7101265|55415|8401085753|3767000|1377289049|147847800|2000721552|4569500|178910020|125807445|18227208|1364543073|5221682647
27-FEB-2026|ASBI|EQUITY|348386472|428|13410592|315701029|22|0|14646079|0|186|40|0|343757948|0|0|0|180640|571270|0|979988|0|0|1731898
27-FEB-2026|ASDM|EQUITY|384000000|640|0|65409700|0|26400|33525820|4000000|0|0|0|102961920|0|313600|0|186900|966900|865800|4415400|0|0|6748600
27-FEB-2026|ASGR|EQUITY|1348780500|1685|1552500|15097200|0|178000|232591848|9932300|3491685|280400|0|263123933|115100|3516461|2600056|8395425|542700|9540600|6251985|158900|3356900|34478127
27-FEB-2026|ASHA|EQUITY|5000000000|92|0|2602594700|0|0|2365342700|0|0|0|0|4967937400|0|0|0|6214000|25848600|0|0|0|0|32062600
27-FEB-2026|ASIA|EQUITY|2275009490|0|250000|18089640|0|83334|1022620029|0|7409294|203|22620680|1071073180|0|334|0|1720002|7512840|0|24374843|0|1153364243|1186972262
27-FEB-2026|ASII|EQUITY|40483553140|6675|2233831102|527948000|168195482|3310650|1020793094|712447148|4637279|51657500|22596530|4745416785|153018733|488310541|2088540225|1469270237|4301930|6517194212|395884955|253846500|2139617542|13509984875
27-FEB-2026|ASJT|EQUITY|1400000000|199|28130800|22000946|1083520009|0|185489458|29918717|43275504|22|6323950|1398659406|0|0|0|1138678|181216|0|20700|0|0|1340594
27-FEB-2026|ASLC|EQUITY|12746354780|82|0|142353300|0|0|2245450622|0|694100|100|0|2388498122|0|39062563|0|53493300|317758800|0|1364000|0|54961300|466639963
27-FEB-2026|ASLI|EQUITY|6250000000|392|0|4060056400|0|0|2182233800|0|997100|112500|0|6243399800|0|43300|0|3011700|2914100|0|631100|0|0|6600200
27-FEB-2026|ASMI|EQUITY|8958380460|32|2693479000|2160758900|0|0|4003943310|431000|41941450|0|6920800|8907474460|0|0|0|800|21361800|0|2437200|0|27106200|50906000
27-FEB-2026|ASPI|EQUITY|683810725|376|0|359427700|0|0|321677225|0|0|0|0|681104925|0|0|0|1756000|944700|0|100|0|0|2700800
27-FEB-2026|ASPR|EQUITY|2712000000|147|0|3400100|0|0|504725100|0|1317500|0|0|509442700|0|268100|0|3048100|299241100|0|0|0|0|302557300
27-FEB-2026|ASRI|EQUITY|19649411888|165|171556800|10033379560|66823000|0|3351208164|327130899|2152913207|1045000|250100|16104306730|0|32298185|11015000|269047252|6911000|148861337|61103851|0|33418533|562655158
27-FEB-2026|ASRM|EQUITY|1277992036|308|63894|140101829|0|0|80106601|0|1216909|567|20447956|241937756|0|19446|0|105060|50400|0|9090974|0|0|9265880
27-FEB-2026|ASSA|EQUITY|3691137517|1190|19771000|1803333877|16582373|0|1201875293|47903391|1002893|3644229|100|3094113156|0|16128410|14926600|133821569|86207100|137192667|111472615|0|97275400|597024361
27-FEB-2026|ATAP|EQUITY|1250000000|855|0|1096100|0|0|246280100|0|0|0|0|247376200|0|8700|0|2358900|229300|0|26900|0|0|2623800
27-FEB-2026|ATIC|EQUITY|2315361355|600|0|838296718|0|0|218431648|0|45|0|0|1056728411|0|863645841|169900|666600|236673623|0|25000|0|0|1101180964
27-FEB-2026|ATLA|EQUITY|6199577693|55|0|4499200|0|0|6089065393|0|95|905|2000000|6095565593|0|0|0|78189900|14805100|0|11017100|0|0|104012100
27-FEB-2026|ATPK|EQUITY|5760245414|0|334100|323695100|18900|0|250129894|0|12600|0|7733000|581923594|0|1509500|3400000|46222000|1161500|0|522312307|0|95936129|670541436
27-FEB-2026|AUTO|EQUITY|4819733000|2900|73784400|57594787|4646375|0|237316712|53355850|21857169|3435200|75|451990568|0|245238428|16963992|72703662|216675|87621239|23284793|0|64685086|510713875
27-FEB-2026|AVIA|EQUITY|61953555600|440|114778700|24349167200|38430500|0|817380572|240835222|7930869|11703900|960600|25581187563|18320900|6029349791|396805490|822330421|111300|3155241837|164475105|0|681199993|11267834837
27-FEB-2026|AWAN|EQUITY|3435000000|177|0|2638786715|0|0|354327185|0|0|0|0|2993113900|0|2710800|0|9960800|2031300|400000000|27183200|0|0|441886100
27-FEB-2026|AXIO|EQUITY|5840126500|120|0|1143379800|0|0|544230700|0|0|0|0|1687610500|0|0|0|1850100|665900|0|0|0|0|2516000
27-FEB-2026|AYAM|EQUITY|4000000000|376|0|77350100|0|0|3803387800|657000|0|320400|0|3881715300|0|43500|0|53988200|253000|0|0|0|0|54284700
27-FEB-2026|AYLS|EQUITY|853423236|238|0|597868200|0|0|229863736|0|0|0|0|827731936|0|19000|0|8439300|4791300|0|12441700|0|0|25691300
27-FEB-2026|BABP|EQUITY|44458997354|57|117046900|27981656876|5725000|76|5115443996|94490200|4627681|3911395|24|33322902148|0|10442972677|0|107722100|10601900|0|45990301|0|84144000|10691430978
27-FEB-2026|BABY|EQUITY|2616226706|270|0|196800|0|0|101344700|14514500|0|0|0|116056000|0|2496177906|0|3869900|122900|0|0|0|0|2500170706
27-FEB-2026|BACA|EQUITY|19953024885|156|367100000|11032462318|0|12686999|1450654687|1630917713|188143080|695000|37500|14682697297|0|72400|1408100|4811460089|205900|27011700|1178990|0|229460160|5070797339
27-FEB-2026|BAIK|EQUITY|1127497572|346|0|100|0|0|226138772|0|0|0|0|226138872|0|0|0|1342700|16000|0|0|0|0|1358700
